STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/28/1990,80,100,5.37,1450,1208,0,0,0,,55,32,,140,,,135,,12.1,,,12.8,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/29/1990,100,100,6.04,1550,1123,0.46,0,0,,48,40,,100,,,90,,12.1,,,12.8,1,,,,,,,,,,,1,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/30/1990,100,100,6.26,1652,1653,0.23,0,0,,53,40,,150,,,135,,10.1,,,12.8,1,,,,,,,,,,,1,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/31/1990,90,90,5.59,1650,1651,0.29,0,0,,70,46,,120,,,135,,12.1,,,12.8,1,,,,,,,,,,,1,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/1/1990,60,80,6.71,1630,1507,0.06,0,0,,77,50,,320,,,315,,15,,,27.5,1,1,1,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/2/1990,30,50,7.61,1953,1332,0.09,0,0,,75,43,,290,,,180,,17.9,,,25.3,,,1,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/3/1990,80,90,14.09,1850,1610,0,0,0,,50,39,,300,,,270,,21.9,,,31.1,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/4/1990,60,60,15.21,950,1308,0,0,0,,56,38,,280,,,270,,23,,,35.6,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/5/1990,40,0,9.62,1352,1011,0,0,0,,67,45,,200,,,315,,14.1,,,20.8,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/6/1990,100,100,8.5,450,528,0.95,0,0,,57,37,,290,,,315,,14.1,,,17.2,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/7/1990,20,10,11.86,852,854,0.07,0,0,,48,34,,290,,,315,,23,,,31.1,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/8/1990,0,0,7.16,1550,951,0,0,0,,59,25,,260,,,270,,14.1,,,21.9,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/9/1990,50,80,7.61,1750,1347,0,0,0,,65,28,,170,,,180,,17.9,,,24.2,,,,,,,,,,,,,,,,,,,,,
